Video	Average Accuracy	F1 Score
0291-L	0.5871848739495799	0.6198136017969136
0291-M	0.55981703026038	0.5789331164575577
0291-R	0.5593453273363318	0.5787332454042937
0292-L	0.5340643537659536	0.5375606041746495
0292-M	0.5287807614106429	0.5419548771210707
0292-R	0.526091650671785	0.5424956950395493
0293-L	0.528203781512605	0.542871484176319
0293-M	0.5277323489556562	0.5430116509022068
0293-R	0.5307622855668773	0.5469710868057587
0294-L	0.534665005425827	0.5455670879220539
0294-M	0.5405180877577223	0.548050093541112
0294-R	0.5384725554083569	0.5464423259238218
0295-L	0.5393363037839994	0.546002723365042
0295-M	0.5452855903853302	0.5494011414689334
0295-R	0.548661408087265	0.5519989214939269
0296-L	0.5515253873786928	0.5557782296408322
0296-M	0.5549411212876787	0.5577270633528705
0296-R	0.5542481839912738	0.5564458830257313
0297-L	0.5556301720029462	0.557898430481365
0297-M	0.5640443055950014	0.5658527587571921
0297-R	0.5684281711911893	0.5697478295565291
0298-L	0.5727281165877657	0.5732018753641839
0298-M	0.574174109928509	0.5738852991622052
0298-R	0.5749408248242022	0.574860576580441
0299-L	0.5771953221173574	0.5767855999853366
0299-M	0.5793657505285412	0.5789444928058318
0299-R	0.5795427881875775	0.5790886332706056
0300-L	0.5809888960812628	0.5804748522580299
0300-M	0.5826950261349815	0.582083045252563
0300-R	0.5836595550336008	0.5828601116759318
0301-L	0.5816641832013175	0.5807670353431856
0301-M	0.5801621205488551	0.5781691325910445
0301-R	0.5795085088310242	0.5769955803575164
0302-L	0.5756278010955396	0.5731275091603367
0302-M	0.5748105407009649	0.5719588836193423
0302-R	0.5754398747841105	0.5730106500075468
0303-L	0.5713372055080598	0.5692008069056561
0303-M	0.5698745193280712	0.5678783768695493
0303-R	0.570794879061572	0.5687936427504047
0304-L	0.5677599307492546	0.5664497911480535
0304-M	0.5663798762190547	0.5646005647692017
0304-R	0.5654131538443867	0.5637370673149792
0305-L	0.5607490153318944	0.5595469459298563
0305-M	0.5599170877056614	0.5588106488479391
0305-R	0.558358259257699	0.5575286706538635
0306-L	0.5576039246062484	0.556301203740408
0306-M	0.557580300436575	0.5560137795296061
0306-R	0.5565906008138515	0.5547612139363793
0307-L	0.5542644327541107	0.5527138432206177
0307-M	0.5555650384531498	0.5544426366783087
0307-R	0.5546861932462319	0.5537594780016026
0308-L	0.5548036154177236	0.5538881676674765
0308-M	0.5552709199642802	0.5545879725995823
0308-R	0.554121876557272	0.5535237304238727
0309-L	0.5546797593772116	0.5538696791497341
0309-M	0.5562023513273481	0.5554595078705835
0309-R	0.5559124726477024	0.5551846629873562
0310-L	0.5566120703917522	0.5557583734102286
0310-M	0.5577102965631929	0.5569643338140284
0310-R	0.5583272953110444	0.5575326534397537
0311-L	0.5592835284443954	0.5582820868607933
0311-M	0.562225073313783	0.5609829009038534
0311-R	0.5631626929047201	0.561889518367739
0312-L	0.5641654950466887	0.5632704437505054
0312-M	0.5655642867473365	0.5649296619618912
0312-R	0.5654343189992679	0.5651047682501292
0313-L	0.5643968415292002	0.5639171012838164
0313-M	0.566504205039898	0.5662523666492982
0313-R	0.5680686409010635	0.5682645805213922
0314-L	0.5697553377118422	0.5695872653395512
0314-M	0.5708130358174038	0.5705138138016029
0314-R	0.5711720164488393	0.5706910353727616
0315-L	0.5672692986278277	0.5667016081758528
0315-M	0.5678307939891738	0.5679724980951901
0315-R	0.5654151437455677	0.5659921982308163
0316-L	0.56570907921535	0.5661736499346892
0316-M	0.5678515699584549	0.5686312495010646
0316-R	0.5670348486519091	0.5675239133849364
0317-L	0.566506033287983	0.5674097493016343
0317-M	0.5668821946479294	0.5682340740979466
0317-R	0.5667229833131328	0.5682602045134194
0318-L	0.5667380786173363	0.5682885320585941
0318-M	0.568644855112342	0.5702079302445883
