Video	Average Accuracy	F1 Score
0291-L	0.6141456582633054	0.6443861484307893
0291-M	0.5816326530612245	0.6063939070158411
0291-R	0.5833333333333334	0.6076389204635694
0292-L	0.5553658098148481	0.5618616862812924
0292-M	0.5451167356096193	0.5608550071152214
0292-R	0.5393474088291746	0.5577763314515557
0293-L	0.5421218487394958	0.5574247482374632
0293-M	0.5413765711882622	0.5575238483785324
0293-R	0.5431445891912808	0.5605568521349584
0294-L	0.5493750251195691	0.561255975176468
0294-M	0.555849256098482	0.564260619123637
0294-R	0.553009416735293	0.5619973246465431
0295-L	0.553900379064973	0.5615398053638136
0295-M	0.5593482839796803	0.5650506689148201
0295-R	0.5612995924112248	0.5658426368600004
0296-L	0.5640984397619431	0.5690132632183041
0296-M	0.5667662379341842	0.570545882524824
0296-R	0.5657592424980854	0.5691976593639951
0297-L	0.5667648715393614	0.5705788016778025
0297-M	0.5744309652290339	0.5779697811275321
0297-R	0.5787846584871027	0.5818520825457534
0298-L	0.5832544323772394	0.5853980765510772
0298-M	0.5851919202724145	0.5865893792383485
0298-R	0.5853763886729211	0.5868050238280087
0299-L	0.5877444945971824	0.5891342182966146
0299-M	0.5897336152219873	0.5911976052981426
0299-R	0.5896993262494553	0.5912990633614408
0300-L	0.5911799365964581	0.5928056157447832
0300-M	0.5930339590387587	0.5945907689631509
0300-R	0.5938539831669603	0.5952607781859345
0301-L	0.5912163751862599	0.59247165974662
0301-M	0.5893851797062508	0.58967518163389
0301-R	0.5883248879646173	0.5879158299089301
0302-L	0.5852884683787437	0.5848576505511726
0302-M	0.5841834269701697	0.5834352281847277
0302-R	0.5849120250431779	0.5845227787608694
0303-L	0.5809175748874241	0.5808369183637015
0303-M	0.5795891519935236	0.5797166607480013
0303-R	0.580566063309388	0.5806403341437644
0304-L	0.5773780898336058	0.5780418143150993
0304-M	0.5762495311327832	0.5765937422253262
0304-R	0.5749925340561899	0.5754455943133232
0305-L	0.570517813035448	0.5715447535631027
0305-M	0.5699356566049143	0.5709946569688465
0305-R	0.5688587437334119	0.5700654189849612
0306-L	0.5681074102762717	0.5688232110786047
0306-M	0.5678312044812253	0.5683369214197646
0306-R	0.5665642703263385	0.566747843167684
0307-L	0.5638716829218487	0.5643047598183187
0307-M	0.5648582780954549	0.5656316291320035
0307-R	0.5639600795435538	0.5649629959173612
0308-L	0.5642817241916135	0.5652290760484893
0308-M	0.5648954114537763	0.5660524598510894
0308-R	0.5640973161529153	0.5652975354384775
0309-L	0.5642604387827318	0.5652836177446722
0309-M	0.5655847981498905	0.5665985718097244
0309-R	0.5652866520787746	0.5663260084598961
0310-L	0.5661119963776634	0.5670608066269494
0310-M	0.5670904933481153	0.5681050601238006
0310-R	0.5676344753821205	0.5686002157910323
0311-L	0.568184322734324	0.5688917999029672
0311-M	0.5710143961610237	0.5714372108264993
0311-R	0.5720163933079823	0.5723795798700447
0312-L	0.5730643889832506	0.5738050350544195
0312-M	0.5742981568079192	0.5752501781151145
0312-R	0.574187541776745	0.5754107681679436
0313-L	0.5733328121335314	0.5744177030890899
0313-M	0.5754908442367123	0.5767133850897251
0313-R	0.5771338482411527	0.5786591408425636
0314-L	7703155073	0.579765124681804
0314-M	0.5796378281534567	0.5806778978950453
0314-R	0.5798655651906204	0.5807176986678974
0315-L	0.5758909119481131	0.5767074860048272
0315-M	0.5759887418925603	0.5774601762013275
0315-R	0.5737957558234684	0.5756306596919611
0316-L	0.574451977703934	0.5761853505302371
0316-M	0.5767004865587327	0.5786596478774757
0316-R	0.5759075372451858	0.5776006017681974
0317-L	0.5757117245413048	0.5778090258539723
0317-M	0.5764501420242188	0.5790256062941849
0317-R	0.5763947552062291	0.5790741840063136
0318-L	0.5762402811544665	0.5789084633251622
0318-M	0.5779588503665832	0.5805704217885341
0318-R	0.5786806175237229	0.5810723899055164
0319-L	0.5794323027408879	0.5817450369634778
0319-M	0.5803633418190234	0.5826210598102788
0319-R	0.580860769421521	0.5830599949093518
0320-L	0.581402700108625	0.5835711998777624
0320-M	0.5823200242850515	0.5844886599495641
0320-R	0.5828184071362489	0.5849702369294139
0321-L	0.5819158660991189	0.5841229427621007
0321-M	0.5808172080927403	0.5825371728521931
0321-R	0.5799897956968236	0.58144645528094
0322-L	0.5818688085676037	0.5834969239882262
0322-M	0.5831278219311911	0.5850820208505477
0322-R	0.5842138785056488	0.586264586530866
