Video	Average Accuracy	F1 Score
0321-M	0.5889275796711774	0.5940362486139265
0321-R	0.5876321674374172	0.5926253193291969
0322-L	0.58990093708166	0.5948449819406784
0322-M	0.5905737596704776	0.5956398444848849
0322-R	0.5918255476434106	0.596845927027029
0323-L	0.5930993700989844	0.5981308399236472
0323-M	0.5936977726457808	0.598840949933192
0323-R	0.5941610362611442	0.5993140052351977
0324-L	0.5950278890760786	0.599787424684744
0324-M	0.5960444257927252	0.600617423844255
0324-R	0.5969687013827824	0.6013283462471208
0325-L	0.596867400944071	0.6012119513217088
0325-M	0.5970556546204768	0.6012970666021265
0325-R	0.5974671652342152	0.6017340825871459
0326-L	0.5972834812777973	0.6015084168194832
0326-M	0.5974468825236409	0.6017661596568608
0326-R	0.5979275506631565	0.6022499299101252
0327-L	0.5982594060920787	0.6026165092789231
0327-M	0.5987471003878022	0.6032961551647146
0327-R	0.599006252840696	0.6035987129785392
0328-L	0.5990674459841072	0.6036747828748708
0328-M	0.5997776011328443	0.6043855296175561
0328-R	0.6004761986921789	0.6051109432340047
0329-L	0.5995397453544391	0.6043238279388902
0329-M	0.5992373452063844	0.6041070694048716
0329-R	0.5992193251271165	0.6040895420612188
0330-L	0.5990175768318988	0.6039009895312755
0330-M	0.5992727768754982	0.604211165585254
0330-R	0.5993267712681978	0.6043089495837168
0331-L	0.5990923481072342	0.60401206673111
0331-M	0.5993268517824265	0.6042208274524375
0331-R	0.5989181472343024	0.603814617700801
0332-L	0.5983866415227094	0.6031932396872035
0332-M	0.5970546206751379	0.6019350117341524
0332-R	0.5965506856465959	0.6012270051256466
0333-L	0.5949186661002211	0.5996724181483061
0333-M	0.5936795380445457	0.5985486217907443
0333-R	0.59260051825164	0.5974846340793978
0334-L	0.592433667248059	0.5971149750104329
0334-M	0.5923229927705314	0.596964855097853
0334-R	0.5922245679049847	0.596823278109636
Total	0.5922245679049847	0.596823278109636
