Video	Average Accuracy	F1 Score
0315-R	0.5737684796246795	0.5756126177745046
0316-L	0.5744251795476472	0.5761674703931843
0316-M	0.5766741504974223	0.578636674923521
0316-R	0.5758815937112873	0.5775783417776155
0317-L	0.5756862944549697	0.5777876935563296
0317-M	0.5764252254945931	0.5790037656677879
0317-R	0.5763947552062291	0.5790721150269816
0318-L	0.5762402811544665	0.5789068425096358
0318-M	0.5779588503665832	0.5805684421432674
0318-R	0.5786806175237229	0.5810695751480747
0319-L	0.5794323027408879	0.5817424275276942
0319-M	0.5803633418190234	0.5826189261019111
0319-R	0.580860769421521	0.5830581167090108
0320-L	0.581402700108625	0.5835694013038168
0320-M	0.5823200242850515	0.584486732491594
0320-R	0.5828184071362489	0.5849682146033613
0321-L	0.5819158660991189	0.5841211155783214
0321-M	0.5808172080927403	0.5825356970105922
0321-R	0.5799897956968236	0.5814447987702039
0322-L	0.5818688085676037	0.5834956053767802
0322-M	0.5831278219311911	0.5850799033816668
0322-R	0.5842138785056488	0.5862624905863447
0323-L	0.5844401594035223	0.5866794469711868
0323-M	0.5845817253638822	0.5867547414801233
0323-R	0.5849608203734058	0.5871344452083906
0324-L	0.5851814889654117	0.5870568330421871
0324-M	0.5860554541639421	0.5875222717570265
0324-R	0.5873539671649579	0.5884675564082205
0325-L	0.5872264339865542	0.5883523112425311
0325-M	0.5876222693760792	0.5887827080188002
0325-R	0.5886166610856867	0.5899265307897723
0326-L	0.5887482237437024	0.5900617737994063
0326-M	0.5894964252693635	0.5908721893021941
0326-R	0.5901479086812802	0.5915187510009045
0327-L	0.5900064349774776	0.5914036826461898
0327-M	0.5908485790230589	0.5924209407147469
0327-R	0.5916369910465675	0.5932879107535713
0328-L	0.5917777631838183	0.593449918209998
0328-M	0.5923063891893301	0.5937798693849397
0328-R	0.5931606825514588	0.5945723857034204
0329-L	0.5928811080523055	0.5942921643732721
0329-M	0.5928032496471971	0.5942352619595895
0329-R	0.5929491020526956	0.594354275695962
0330-L	0.5928838391388848	0.5942643545270436
0330-M	0.5932069005204803	0.5946256853544857
0330-R	0.5933689948805678	0.5947619976326453
0331-L	0.5924828236562036	0.5936959456686458
0331-M	0.5917289412078345	0.592636329815634
0331-R	0.5914458537229433	0.5924108098310129
0332-L	0.5903075771397248	0.5910941945126432
0332-M	0.5893875667426356	0.590265816592456
0332-R	0.588515670488084	0.5892445343385838
0333-L	0.5866522673040502	0.587417619396093
0333-M	0.5851632164041325	0.5860516670890457
0333-R	0.5834727528811212	0.584454842765685
0334-L	0.5834156543751061	0.584268162732404
0334-M	0.5826148490991853	0.5833171195695381
0334-R	0.5826448163786033	0.5833183092031954
Total	0.5826448163786033	0.5833183092031954
